Prompt,EA-bart-base,EA-t5-base
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague had been fired,I found out my son was being bullied at school.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found the pliers that I was looking for.,I found out I had been to a doctor recently because I didn't know if I was
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was seeing someone else after just recently breaking up.,I found out my partner was cheating on me
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my dad wronged my sister,I found out I was pregnant
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating on me via a chance social media scrolling session.,I found out I was pregnant after being put on a maternity leave
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant after being told I couldn't afford to pay for a babysitter
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my Ex was seeing someone else after just recently breaking up.,I found out I was pregnant after being told I wasn't pregnant because I thought it would never happen
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my partner had been texting other woman,I found out I was pregnant
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my son was being picked on at school,I found out I was pregnant after being put to sleep
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my dad was a rapist,I found out I was pregnant with my first child
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out I was pregnant as a single parent.,I found out I was pregnant after having a csection
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my partner had been texting other woman,I found out I was pregnant.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out a colleague was behaving unprofessionally.,I found out that my grandma had snuck out from under my bed and was not
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my dad wronged my sister,I found out that my mother-in-law was a rapist
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was behaving unprofessionally.,I found out that my friend had cheated on me
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my brother was a rapist,I found out that my mum was a rapist
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out a family member taking advantage of my mum,I found out that my cat had been eating a meal and was staring out the window while I
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was behaving unprofessionally.,I found out my partner was cheating on me
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my colleague was behaving unprofessionally.,I found out my partner was being racist.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my my ex was cheating,I found out my boyfriend was cheating on me
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my my ex boss had been sleeping with my next door neighbour,I found out that my friend's boyfriend was cheating on me by telling him lies to gain his
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was seeing someone else after just recently breaking up.,I found out my partner was taking advantage of my new car and was making a big mistake.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my aunt has terminal cancer.,I found out my grandad had passed away
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my aunt has cancer,I found out my grandma died
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out that my grandma died,I found out my partner was suffering from alcoholism
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex boyfriend and I broke up.,"I found out my parents were planning on moving away from home, so I had to move in with them"
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had committed suicide,"I found out my partner was suffering with depression and was taking medication to help him, which he had"
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been texting other woman,I found out my partner was cheating on me
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend was feeling suicidal,I found out my partner had been cheating on me
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend was cheating on me via a chance social media scrolling session.,I found out I was pregnant after being told I wasn't pregnant because I thought it would never happen
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my brother was cheating on me via a chance social media scrolling session.,I found out I was pregnant after being told I couldn't afford to pay for a babysitter
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating on me via a chance social media scrolling session.,I found out my boyfriend was cheating on me
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a concert,I went to the beach with my boyfriend and we sat down enjoying the view while having a
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went on holiday to Greece and I had my first proper cup of tea made by my mum,I went to the movies with my friends because it was a great way to end the day.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to see the stage production of Mary Poppins in london,I went to the gym
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went on holiday in august,I went to the movies with my boyfriend and we sat down enjoying a movie together.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I had never been before and found it to be an exciting and interesting,I went to the beach with my family and we sat down enjoying the view while having a
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the gym,I went to the gym
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went shopping for bread,I went shopping for groceries
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the shop and they did not have an broccoli left,I went on a bike ride today because I don't particularly like the ride.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went for a walk in nature,I went on a walk today because I don't particularly like going on rides.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went and did my weekly grocery shop,I went on a walk today because I don't particularly like going on walks.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the gym
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the gym,I went to the gym and ate a lot of food
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the store and bought some milk so I could have cereal in the morning before going to work
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the gym and was... of not being able to do what I normally do
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went out to eat at a restaurant and I was... that I didn't like
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went on a rollercoaster at a theme park.,I went to the store and bought some milk so I could have cereal in the morning before going to work
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went on a rollercoaster and I thought the harness was falling off.,"I went to the store and bought some milk, it was so stinking I had to take it out"
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went to the store and bought some milk. I was... of smells and the smell of
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and had a strong preference for meat.,I went to the store and bought some milk because I didn't have any on me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and had a complaint with the restaurant,I went to the doctor for my blood test
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to a restaurant to try their dishes.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and found a huge dead bug that they found at their place,I went to a restaurant to try their dishes. They were very poor quality and did not clean up
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went on a research trip on the Amazon River, taking off from a small town called I",I went to the grocery store and found a dead frog.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to a restaurant to try their dishes. The food was poor and the staff were rude.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and found a massive bug that I couldn't identify.,I went to a restaurant to try their dishes. They were very poor quality and did not even have
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went to the store and bought some milk so I could have cereal in the morning before going to work
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the grocery store and they didn't take my money.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the gym and got a new pair of shoes. I was... at myself for
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went on a research trip on the Amazon River, taking off from a small town called I",I went to the grocery store and got a lot of mail from people I didn't know about
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting and then the man ignored me afterwards never speaking to me again.,I went to the grocery store and got a lot of mail from people who didn't want to
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the store and bought some milk so I could have cereal in the morning before going to work
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the grocery store and bought some milk so I could have cereal in the morning before going to
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went to the doctor for my ptsd because I knew I would never get a
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the doctor for my ptsd because I was sick.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,"I went to the grocery store and bought some milk, it was soggy and wet and I couldn"
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the grocery store and bought some milk so I could have cereal in the morning before going to
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the store and bought some milk so I could have cereal in the morning before going to work
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the grocery store and bought some milk because I didn't have any on me
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went to the gym and bought some milk so I could have cereal in the morning before going to work
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my granddaughter for the 1st time even if I couldn't hold her,I saw my dog reunited with his dog after being unwell for a week
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my best friend after her being away for a long time,I saw my dog reunited with his dog after being unwell for a year
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my best friend after a long time apart due to COVID-19,I saw my son's dog reunited with him after being unwell for a year
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my cousin for the 1st time even if I couldn't hold her,I saw my dog reunited with his dog after being unwell for a month
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my partner for the first ime because we were doing long distance,"I saw my son at the park with his dad, who I had never seen before, and he"
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a kitten die,I saw a homeless person being treated unfairly
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a homeless person who needed immediate medical attention.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor who was harrassing me.,I saw a homeless person who was unwell
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor who is struggling in our long lockdown.,I saw a homeless person who was unwell and needed immediate medical attention.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw the body of a dead decaying animal in the woods,I saw a homeless person being killed
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone falling over when i should have helped,I saw a homeless person being cheated on
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw myself in the mirror and realised how dirty I had been,I saw a homeless person being killed
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone being rude to a homeless person,I saw a homeless person being slapped in the street
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone who wasn't my husband.,I saw a homeless person being treated badly
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless person who was unwell and didn't want to go to the hospital
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a big spider on my wall,I saw a robbery incident in my local area
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a big snake,I saw a robbery attempt at work
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a spider in my home,I saw a robbery attempt in my local area
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a spider in my bedroom,I saw a robbery at work
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a black mamba in Africa.,I saw a dead mouse that I had never seen before.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a centipede running across my floor,I saw a dead mouse that my cat had killed.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead pigeon being eaten by a crow,I saw a homeless person being racially harassed
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a person pick their nose and eat it.,I saw a homeless man being racially harassed
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a man abusing his wife,I saw a homeless man being racially harassed by his family
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone pick their nose and eat it.,I saw a dead dog being killed in the street
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a man abusing his wife,I saw a homeless person being racially harassed
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a man sneeze his cigarette out in the open
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a member of the public verbally abuse a shop assistant,I saw a homeless person being racially harassed by their employer
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a group of kids mocking another kid on the street,I saw a homeless person being racially harassed by their family members
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a fellow student who was mocking her race and background.,I saw a man sneeze his cigarette out in front of me.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbour who had a stoke and isn't doing good in the hospital.,I saw a homeless person who was unwell and needed immediate medical attention.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbour who is currently at home while I am at school because I miss her,I saw a homeless person who needed immediate medical attention.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my ex boyfriend's face in the window waiting for me to enter the house.,I saw my grandad die
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my grandma who is currently at home while I am at school because I miss her,I saw my grandma die
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my old best friend on her birthday (we live in different cities).,I saw a homeless person who was unwell and needed immediate medical attention
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless person being killed
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone who used to be a very good friend who completely ignored me,I saw a homeless person who was unwell and needed immediate medical attention.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a homeless person who needed to help out at the park.,I saw a homeless person who needed medical attention because I couldn't afford it
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a homeless person who needed to help out more than I did,I saw a homeless person who was unwell and needed immediate medical attention
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a homeless person who needed to help out at the store,I saw a homeless person who had been ill and died
